"","depth","lake","upper_age","lower_age","Gomphonema.cf.geisslerae","Encyonopsis.subminuta","Gomphonema.sp.1.LLAVIUCU.cf.netriviale","Sellaphora.pupula","Gomphonema.parvulum","Gomphonema.sp.2.LLAVIUCU.cf.variostriatum","Navicula.radiosa","Eunotia.cf.andinofrequens","Hannaea.arcus","Orthoseria.roseana","Staurosirella.pinnata","Encyonopsis.sp.1.LLAVIUCU","Fragilaria.capuccina.agg","Brachysira.microcephala.neoxilis","Nitzschia.amphibia","Pseudostaurosira.brevistriata","Ulnaria.cf.ulna.var.amphyrhynchus","Navicula.cryptotenella","Fragilaria.cf.capucina","Cymbella.cymbiformis.cystula","Ephitemia.adnata","Fragilaria.vaucheriae","Cocconeis.placentula.var.placentula","Denticula.kuetzingii","Staurosira.construens.var.venter","Diatoma.tenuis","Aulacoseira.cf.distans","Fragilaria.tenera","Aulacoseira.alpigena","Nupela.sp.1.LLAVIUCU","Tabellaria.flocculosa.str.IV","Achnanthidium.minutissimum","Discostella.stelligera","X"
"34",114,"llaviucu",2358,2382,1.67525773195876,3.09278350515464,4.63917525773196,0.128865979381443,0,3.8659793814433,2.06185567010309,0.902061855670103,2.31958762886598,0,0.128865979381443,7.47422680412371,0,5.92783505154639,0.128865979381443,0,2.57731958762887,0,4.63917525773196,6.82989690721649,1.54639175257732,0.128865979381443,0.902061855670103,3.60824742268041,0,0,0,0,1.15979381443299,6.18556701030928,0,22.0360824742268,0,9.79381443298969
"35",115,"llaviucu",2382,2405,2.15633423180593,1.88679245283019,2.96495956873315,0.404312668463612,0.404312668463612,2.56064690026954,0.808625336927224,0.673854447439353,2.69541778975741,0.134770889487871,0.539083557951483,5.5256064690027,0,6.46900269541779,0.134770889487871,0,2.2911051212938,0,5.25606469002695,7.41239892183288,1.48247978436658,0.808625336927224,1.21293800539084,3.36927223719677,0,0,0,0,1.61725067385445,3.50404312668464,0,26.9541778975741,0.134770889487871,10.377358490566
"36",118,"llaviucu",2450,2472,2.70676691729323,2.40601503759399,1.95488721804511,0.150375939849624,0.451127819548872,2.55639097744361,0,0,2.55639097744361,0,1.50375939849624,5.56390977443609,0,8.87218045112782,0,0,1.35338345864662,0,8.87218045112782,5.71428571428571,1.65413533834586,0,1.65413533834586,2.10526315789474,0,0,0,0,0.75187969924812,2.25563909774436,0,25.5639097744361,0,11.7293233082707
"37",120,"llaviucu",2488,2509,0.245098039215686,2.32843137254902,2.69607843137255,0.122549019607843,0.245098039215686,0.490196078431373,2.08333333333333,0.122549019607843,2.69607843137255,0,0.245098039215686,7.9656862745098,0,11.8872549019608,0,0,2.57352941176471,0,5.51470588235294,7.1078431372549,1.96078431372549,0,0.612745098039216,3.30882352941176,0.612745098039216,0,0.612745098039216,0,4.16666666666667,1.22549019607843,0,19.2401960784314,0,9.68137254901961
"38",125,"llaviucu",2586,2591,0.477707006369427,0.477707006369427,3.02547770700637,0,0.318471337579618,1.43312101910828,0.796178343949045,0,2.86624203821656,0,1.11464968152866,5.57324840764331,0,9.87261146496815,0,0.636942675159236,2.07006369426752,0,4.45859872611465,3.18471337579618,0.477707006369427,0.159235668789809,0.636942675159236,2.38853503184713,0.159235668789809,0,0,0,0.477707006369427,0.477707006369427,0,29.4585987261146,0,13.0573248407643
"39",128,"llaviucu",2613,2616,1.08527131782946,3.87596899224806,1.55038759689922,0,0.310077519379845,1.70542635658915,0.930232558139535,0.310077519379845,2.63565891472868,2.48062015503876,0,4.65116279069767,0,8.06201550387597,0.155038759689922,0,1.55038759689922,0,9.30232558139535,2.48062015503876,0.465116279069767,0.465116279069767,1.08527131782946,0.465116279069767,0.775193798449612,0,0,0,0.155038759689922,1.55038759689922,0,31.4728682170543,0,12.8682170542636
"40",131,"llaviucu",2649,2668,1.17994100294985,2.94985250737463,1.47492625368732,0.147492625368732,1.03244837758112,0.884955752212389,0.737463126843658,0,6.34218289085546,0.442477876106195,0.589970501474926,4.86725663716814,0,4.57227138643068,0.294985250737463,0,2.94985250737463,0,8.55457227138643,3.83480825958702,1.03244837758112,0.294985250737463,2.06489675516224,1.47492625368732,1.47492625368732,0,0,0,1.03244837758112,0.737463126843658,0,31.2684365781711,0,12.3893805309735
"41",133,"llaviucu",2687,2705,1.41206675224647,2.18228498074454,2.95250320924262,0,0,4.36456996148909,1.79717586649551,0,3.72272143774069,0,0.256739409499358,5.39152759948652,0,9.24261874197689,0,0,2.18228498074454,0,5.26315789473684,6.80359435173299,0.641848523748395,0.770218228498075,1.15532734274711,3.72272143774069,0,0,0.385109114249037,0,0.385109114249037,1.41206675224647,0,25.8023106546855,0,10.9114249037227
"42",137,"llaviucu",2735,2752,1.01449275362319,4.34782608695652,3.18840579710145,0,0,1.44927536231884,1.30434782608696,0.434782608695652,3.33333333333333,0,0,7.68115942028986,0,7.2463768115942,0,0.72463768115942,3.33333333333333,0.144927536231884,8.40579710144928,14.2028985507246,0.72463768115942,0,1.73913043478261,3.91304347826087,0,0,0,0,0.434782608695652,0.579710144927536,0,15.6521739130435,0,12.6086956521739
"43",138,"llaviucu",2752,2759,1.70542635658915,3.25581395348837,1.08527131782946,0.310077519379845,0,0.930232558139535,2.17054263565891,0.62015503875969,3.87596899224806,0.155038759689922,0,8.21705426356589,0,6.51162790697674,0,0,2.01550387596899,0.310077519379845,6.82170542635659,6.51162790697674,0,0,1.70542635658915,2.32558139534884,0,0,0.465116279069767,0.775193798449612,0.930232558139535,1.70542635658915,0,24.6511627906977,0,13.6434108527132
