Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1263,126.3,2680,3.715985017,3.43702354,5.011951322,7.091988541,4.661511454,3.751050133,9.844258484,10.09396392,5628.474633,5736.520496,0.570073954
1264,126.4,2681,2.897750345,3.433659432,4.749451799,7.112966989,1.266953626,3.744509022,10.39175811,10.11057062,5738.516687,5738.250577,0.462060966
1265,126.5,2683,2.58111855,3.439361902,4.753154159,7.134567178,2.8895541,3.770299112,10.72669964,10.11334153,5816.738697,5739.767109,0.411807952
1266,126.6,2685,2.434105292,3.451181741,4.84502863,7.155344843,4.702625191,3.783581952,11.24677257,10.10847498,5936.427992,5740.728931,0.386339361
1267,126.7,2686,2.976790792,3.461948706,5.361476748,7.180581725,3.448522666,3.779201033,10.00540493,10.10567188,5966.860713,5739.260997,0.473748314
1268,126.8,2688,2.884814853,3.467897226,4.738875635,7.199166117,3.727569754,3.777033843,9.401134069,10.11963804,5867.605082,5737.460955,0.460117945
1269,126.9,2690,3.087580875,3.47362997,5.551544977,7.218589631,1.830179663,3.784101108,10.79364146,10.14382046,5840.36295,5737.20929,0.489618342
1270,127,2691,2.93863382,3.477455767,5.716430213,7.230630159,1.809421052,3.806042619,11.93748989,10.14611538,5880.697051,5737.085394,0.468145472
1271,127.1,2693,2.624339037,3.480951538,5.095835528,7.241333193,2.634094944,3.832681429,11.96001899,10.13751369,5909.649662,5736.993288,0.419019941
1272,127.2,2695,2.177565416,3.492965476,4.81685811,7.258106944,2.859730232,3.857572033,10.89668875,10.12783724,5858.602429,5735.510982,0.337971211
1273,127.3,2696,1.979617982,3.508158704,4.38412958,7.282026031,2.736057374,3.866967773,10.46181753,10.14177255,5868.14714,5734.22527,0.29658139
1274,127.4,2698,2.186279074,3.522721307,4.865145718,7.309342554,2.665371094,3.874421495,10.91584847,10.14546315,5947.220663,5733.291581,0.339705598
1275,127.5,2700,2.663193035,3.532061593,5.964052009,7.32703835,2.69388284,3.901835747,11.99734131,10.15190226,5943.881418,5732.301028,0.425402646
1276,127.6,2701,3.091153154,3.532082671,6.356503889,7.330556,3.347326067,3.918937998,13.47713374,10.13300447,5943.836268,5731.754,0.490120523
1277,127.7,2703,2.845657609,3.534934484,7.183213383,7.333021393,1.24324847,3.906282213,12.58327165,10.11025492,5923.083507,5731.42016,0.454182644
1278,127.8,2705,3.322146513,3.53924998,7.349401675,7.325882181,3.05095088,3.935101288,10.13845467,10.0869863,5737.160653,5731.353335,0.521418782
1279,127.9,2706,2.448863337,3.534754122,6.272309888,7.321349184,3.219744464,3.965890464,7.833578202,10.08813401,5401.79937,5732.636542,0.388964549
1280,128,2708,2.218042999,3.544407501,6.157412325,7.325419915,2.467963337,3.971775768,7.325787572,10.11722161,5389.680763,5737.200453,0.345969961
1281,128.1,2709,2.199348993,3.558918499,5.483710155,7.337428965,2.867299428,3.993836807,7.209079811,10.13683209,5488.904837,5740.758617,0.342294149
1282,128.2,2711,2.640954045,3.576751126,5.333489223,7.359759107,3.301192556,4.021158936,10.90707059,10.17012529,5772.739955,5743.34257,0.421760844
1283,128.3,2713,2.529741078,3.581925312,5.181945416,7.37972478,3.289013296,4.032561625,11.50145674,10.16444742,5974.922162,5742.861758,0.403076073
1284,128.4,2714,2.872817205,3.587552375,5.899352335,7.398613361,3.108518023,4.038862253,12.02197274,10.1625997,5971.836506,5742.043078,0.458307993
1285,128.5,2716,2.972131658,3.591847698,5.723112596,7.411021091,3.585322294,4.065975579,10.46477557,10.15428184,5953.756403,5741.719253,0.473068044
1286,128.6,2718,2.481101503,3.595727629,5.058395444,7.426839077,4.411584223,4.069771828,8.770816409,10.15480512,5984.586682,5741.308816,0.394644532
1287,128.7,2719,2.019082956,3.60644837,4.785488825,7.450193265,2.589408337,4.069778204,8.38547603,10.16793407,5924.286163,5739.461113,0.305154163
1288,128.8,2721,2.808497437,3.622281171,4.986650562,7.47631488,3.201225046,4.085462641,8.94628532,10.17388468,5820.667062,5738.296051,0.448474032
1289,128.9,2723,2.550604048,3.62714708,5.072405792,7.492778502,3.360268822,4.093650469,7.62954752,10.17468652,5800.017078,5737.315063,0.406643045
1290,129,2724,2.942663142,3.630821032,5.338003818,7.502631458,4.539556926,4.087108556,7.942562731,10.19152684,5843.086381,5737.955225,0.46874055
1291,129.1,2726,2.776829407,3.627381674,5.436602774,7.506228516,3.609227918,4.084591987,8.616514423,10.20828726,5978.818796,5739.26563,0.4435492
1292,129.2,2728,2.665441499,3.629645628,5.299318559,7.505085414,2.735584696,4.079656158,8.813723862,10.19734643,5757.626147,5738.922824,0.425769155
1293,129.3,2729,2.324900605,3.63169891,4.513643048,7.507876503,3.369914493,4.088184932,7.347315243,10.18912302,5703.431373,5741.331638,0.36640439
1294,129.4,2731,2.986091013,3.640329262,5.315037709,7.518261396,3.404892831,4.095348443,8.542372881,10.19571754,5731.813185,5743.491089,0.47510304
1295,129.5,2733,3.166574208,3.640727704,6.867227852,7.519642926,3.686870949,4.112057138,10.91703057,10.18170976,5683.331474,5745.043981,0.50058967
1296,129.6,2734,3.738868291,3.641556858,6.441664645,7.502885571,2.876052531,4.115566702,9.698041175,10.15006703,5632.273013,5744.513839,0.572740167
1297,129.7,2736,3.075518802,3.643103713,6.157849385,7.497848987,3.439949048,4.130928628,9.036109185,10.13196479,5577.124296,5745.219293,0.487918386
1298,129.8,2738,3.501628077,3.652935102,7.353418961,7.493105355,4.945598417,4.13100554,10.48710243,10.11865785,5633.68481,5746.262873,0.544270016
1299,129.9,2739,3.889796508,3.655651961,8.157458963,7.474906269,7.18686212,4.126665268,11.79545607,10.10864252,5619.796458,5746.195681,0.589926882
1300,130,2741,4.042022266,3.651375309,9.379706464,7.450689874,5.647757139,4.09541011,10.87098246,10.08484673,5413.733233,5747.378426,0.606598702
1301,130.1,2743,3.375675696,3.637843699,8.583113397,7.414976157,4.112118788,4.06720174,11.00604287,10.0779763,5395.919984,5753.398447,0.528360717
1302,130.2,2744,3.713089904,3.630998181,7.959711172,7.390146016,3.604941654,4.066070456,11.87637127,10.07274675,5567.238953,5759.817905,0.569735465
1303,130.3,2746,4.005653394,3.622191212,7.465558378,7.372122665,4.268032437,4.082520772,11.40986209,10.04697095,5653.503113,5764.647408,0.602673367
1304,130.4,2748,4.09698529,3.611410719,7.631159461,7.356051985,5.313496281,4.092353527,10.60877852,10.0408823,5660.190875,5767.624844,0.612464405
