"","negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med","proxy"
"75",-1279.84615384615,-0.000541887791608464,0.00114170432229618,0.000721685164799965,0.00337802198438162,4.30068658591187e-05,0.0018800650762645,"agropastoralism"
"76",-1190.58974358974,-0.000543549676715077,0.00108000029957888,0.000688015360359659,0.00341475572206435,5.09308354279536e-05,0.00192889278134888,"agropastoralism"
"77",-1101.33333333333,-0.000467669096127221,0.000945170457773612,0.000736492720505313,0.00345399681205286,0.000100992948967871,0.00190866384899565,"agropastoralism"
"78",-1012.07692307692,-0.000525754955056912,0.000819047733365305,0.000875981960516262,0.00352932882674759,0.000151468777724872,0.00185369253114657,"agropastoralism"
"79",-922.820512820513,-0.000479135141190495,0.000970561219930944,0.000823380979032687,0.00341246005027538,0.000192313389427989,0.00190025690815645,"agropastoralism"
"80",-833.564102564103,-0.000370968813651007,0.00103390265795505,0.000698019750111065,0.00305132716315034,0.000194435488199418,0.00194707067797069,"agropastoralism"
"81",-744.307692307692,-0.000350348686657301,0.00110721731941936,0.000667568963951315,0.00295256270391704,0.000141215094831004,0.00192095548777613,"agropastoralism"
"82",-655.051282051282,-0.000440379143283903,0.00112652699798628,0.000530177480485158,0.00266360392077092,5.90764460092763e-05,0.00186242010751405,"agropastoralism"
"83",-565.794871794872,-0.000640851070160146,0.00108847636624194,0.000406035763738363,0.00248603931227187,-0.000102969579569012,0.00171273669285765,"agropastoralism"
"84",-476.538461538461,-0.000891788928334497,0.000919839270399618,0.000168851454819278,0.00225356483222166,-0.000341790219132027,0.00145320833139397,"agropastoralism"
"85",-387.282051282051,-0.00119273316366843,0.000860996049860677,-7.76638221481884e-05,0.00214157254718326,-0.000582377969723935,0.00139506153402501,"agropastoralism"
"86",-298.025641025641,-0.00138771375450386,0.000910485084509819,-0.000173432458686423,0.00228594802869548,-0.000774127542305658,0.00144469743855662,"agropastoralism"
"87",-208.76923076923,-0.0014689956727549,0.00097454229602637,-0.000217533855679873,0.00238360195042018,-0.000823827019956064,0.0015422006294195,"agropastoralism"
"88",-119.51282051282,-0.00154668187393631,0.00101642663492634,-0.000106242232884274,0.00300366928145644,-0.000866075265342076,0.00178468332843249,"agropastoralism"
"89",-30.2564102564102,-0.00160642656560175,0.00108421028835768,-2.97744830289048e-05,0.00348874975500665,-0.000862034581125548,0.00201848079003074,"agropastoralism"
"90",59,-0.00166151074925291,0.00109487048058707,1.01622100286831e-05,0.00364139527986284,-0.000865877293480255,0.00209098800689,"agropastoralism"
"91",-3422,-0.000468237517568403,0.0010570469511011,0.000640787732127867,0.00246803371083495,4.47104005735222e-05,0.00166875996397074,"pollen"
"92",-3332.74358974359,-0.000389757563238553,0.000959139519913851,0.000521166854704217,0.00210111300319954,4.32378851903468e-05,0.00148877144204469,"pollen"
"93",-3243.48717948718,-0.000420004555302521,0.000763859701717422,0.000339805715492775,0.0017903061181797,2.75820685962708e-06,0.00128221937893759,"pollen"
"94",-3154.23076923077,-0.000356347308611358,0.000710809898244032,0.00029127475862458,0.0016522678043643,-4.17596097026253e-05,0.00112658906377651,"pollen"
"95",-3064.97435897436,-0.000302529939874604,0.000682306458606933,0.000306815070012171,0.00143321662800545,-2.88340322628467e-06,0.00101836100979093,"pollen"
"96",-2975.71794871795,-0.000294780628063528,0.00059114996912899,0.000286320228066067,0.00132425804586051,2.50448121144293e-05,0.000947257989231522,"pollen"
"97",-2886.46153846154,-0.000259680066547036,0.000587069117310181,0.000331192911789601,0.00124099389872086,1.21837665230763e-05,0.000862913452659875,"pollen"
"98",-2797.20512820513,-0.000248675601240092,0.000542807824656563,0.00033971005010501,0.00120231058018128,5.18438939938861e-05,0.000848872528074539,"pollen"
"99",-2707.94871794872,-0.000184601020360999,0.000583121853844006,0.000324933288178636,0.00138404582760072,9.70563242832184e-05,0.000935111277467316,"pollen"
"100",-2618.69230769231,-0.000198516732291044,0.00059731250176628,0.000273860184009069,0.00144312420612981,6.4488553335601e-05,0.000918851745153057,"pollen"
"101",-2529.4358974359,-0.00034749167217375,0.000563476536744293,0.000195669153203166,0.00134114074848417,-6.32902337044509e-05,0.000884560656120332,"pollen"
"102",-2440.17948717949,-0.000500635832974692,0.000606851971447696,1.44833200286744e-05,0.00133133511165191,-0.000225184633587369,0.000985755403081673,"pollen"
"103",-2350.92307692308,-0.000588482408700807,0.000666536000363425,-1.36996366236528e-05,0.00145848171826501,-0.000321285882319934,0.00103026271172602,"pollen"
"104",-2261.66666666667,-0.000584248243075854,0.000662502296604685,-3.12668162849331e-05,0.00137972396426561,-0.000307800438142352,0.000944660412625254,"pollen"
"105",-2172.41025641026,-0.000547120024972643,0.000579352369870164,-4.32613007339032e-06,0.00141051937519774,-0.000258750524216273,0.000934643536609882,"pollen"
"106",-2083.15384615385,-0.000489718758901914,0.000685478255752376,8.04777885309864e-05,0.0015221344225764,-0.000187010537874717,0.00102524352222045,"pollen"
"107",-1993.89743589744,-0.000339858728790843,0.000700800780532304,0.000182286775721252,0.00160267790680038,-8.16430875851487e-05,0.00109787280682966,"pollen"
"108",-1904.64102564103,-0.000311608474134342,0.000658115789804463,0.0002227790624161,0.00151007624598085,-3.96999037720336e-05,0.00106700492489335,"pollen"
"109",-1815.38461538462,-0.000291137555569547,0.000686432888369952,0.0002931852791972,0.00149599103973043,-8.47420374062107e-06,0.00103436264154926,"pollen"
"110",-1726.12820512821,-0.000209862665174262,0.000598898740130338,0.000285457939114878,0.00145590740079243,3.68902452432818e-05,0.000970595451884774,"pollen"
